,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,BIS_1,BIS_2,BIS_3,BIS_4,BIS_5,BIS_6,BIS_7,BIS_8,BIS_9,BIS_10,BIS_11,BIS_12,BIS_13,BIS_14A,BIS_14,BIS_15,BIS_16,BIS_17,BIS_18,BIS_19,BIS_20,BIS_22,BIS_22A,BIS_23,BIS_21,CREATED_DATE,UPDATED_DATE
0,2022-06-30,,Q,EVF,Y,3,495598000000.0,-239601000000.0,255997000000.0,32957000000.0,-30849000000.0,2108000000.0,-3716000000.0,0.0,-38000000000.0,125682000000.0,0.0,125682000000.0,9938000000.0,352009000000.0,-182833000000.0,169176000000.0,-79358000000.0,89818000000.0,-70535000000.0,-45135000000.0,-25400000000.0,0.0,19283000000.0,22.0,19283000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
1,2022-06-30,,Q,MSB,Y,3,3122257000000.0,-1062509000000.0,2059748000000.0,369168000000.0,-125535000000.0,243633000000.0,315216000000.0,-1386000000.0,557703000000.0,129364000000.0,-520214000000.0,-390850000000.0,0.0,2784064000000.0,-1058147000000.0,1725917000000.0,115054000000.0,1840971000000.0,-348978000000.0,-348984000000.0,6000000.0,0.0,1491993000000.0,977.0,1491993000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
2,2022-09-30,2022-10-18,Q,BAB,N,0,2630639000000.0,-1993906000000.0,636733000000.0,33301000000.0,-9684000000.0,23617000000.0,1842000000.0,0.0,24353000000.0,83313000000.0,-845000000.0,82468000000.0,4534000000.0,773547000000.0,-465739000000.0,307808000000.0,-23696000000.0,284112000000.0,-55965000000.0,0.0,-55965000000.0,0.0,228147000000.0,0.0,228147000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
3,2023-03-31,2023-04-28,Q,BID,N,0,37735207000000.0,-23799014000000.0,13936193000000.0,2673226000000.0,-1155827000000.0,1517399000000.0,672727000000.0,65730000000.0,-165000000.0,1248911000000.0,-272307000000.0,976604000000.0,109908000000.0,17278396000000.0,-4831771000000.0,12446625000000.0,-5527046000000.0,6919579000000.0,-1360181000000.0,-357000000.0,-1360538000000.0,-90561000000.0,5649602000000.0,0.0,5559041000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
4,2021-06-30,,Q,VAB,Y,3,1383821280519.0,-987315295567.0,396505984952.0,19141207538.0,-5795032745.0,13346174793.0,-3538988357.0,28130302505.0,23787239983.0,62747206094.0,-355639354.0,62391566740.0,0.0,520622280616.0,-165156640670.0,355465639946.0,-84909769336.0,270555870610.0,-79066062320.0,-79066062320.0,0.0,0.0,191489808290.0,0.0,191489808290.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
5,2021-06-30,,Q,SSB,Y,3,3154850000000.0,-1829839000000.0,1325011000000.0,577127000000.0,-231099000000.0,346028000000.0,15693000000.0,-17509000000.0,38498000000.0,109949000000.0,-61180000000.0,48769000000.0,2500000000.0,1758990000000.0,-638549000000.0,1120441000000.0,-262311000000.0,858130000000.0,-174907000000.0,-174907000000.0,0.0,0.0,683223000000.0,1009.0,683223000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
6,2021-06-30,,Q,EIB,Y,3,2652204000000.0,-1668795000000.0,983409000000.0,215881000000.0,-131084000000.0,84797000000.0,102309000000.0,0.0,7487000000.0,65165000000.0,-3299000000.0,61866000000.0,189000000.0,1240057000000.0,-777116000000.0,462941000000.0,-122541000000.0,340400000000.0,-67705000000.0,-67705000000.0,0.0,0.0,272695000000.0,0.0,272695000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
7,2021-12-31,2022-01-20,Q,ABB,N,0,1689113000000.0,-819895000000.0,869218000000.0,225247000000.0,-82677000000.0,142570000000.0,-51464000000.0,54521000000.0,222923000000.0,133509000000.0,-18610000000.0,114899000000.0,3780000000.0,1356447000000.0,-716073000000.0,640374000000.0,-280875000000.0,359499000000.0,-78718000000.0,0.0,-78718000000.0,0.0,280781000000.0,0.0,280781000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
8,2021-12-31,2022-03-14,Y,OCB,Y,0,11720101268150.0,-5954516274613.0,5765584993537.0,867740348909.0,-83239622627.0,784500726282.0,99732528303.0,123818226554.0,1744618886811.0,563511742958.0,-162614061354.0,400897681604.0,0.0,8919153043091.0,-2402923565171.0,6516229477920.0,-997676515651.0,5518552962269.0,-1113593994467.0,0.0,1113593994467.0,0.0,4404958967802.0,3188.0,4404958967802.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
9,2021-12-31,2022-01-26,Q,OCB,N,0,3017647644607.0,-1486594186489.0,1531053458118.0,334867511838.0,-19324127693.0,315543384145.0,45966621646.0,104179035750.0,522830744763.0,186447606217.0,-32816594797.0,153631011420.0,0.0,2673204255842.0,-585755541642.0,2087448714200.0,-337009714415.0,1750438999785.0,-350311791125.0,0.0,-350311791125.0,0.0,1400127208660.0,3188.0,1400127208660.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
