,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,ICFD_1,ICFD_7,ICFD_8,ICFD_801,ICFD_9,ICFD_901,ICFD_902,ICFD_20,ICFD_25,ICFD_23,ICFD_231,ICFD_232,ICFD_24,ICFD_21,ICFD_22,ICFD_221,ICFD_222,ICFD_30,ICFD_32,ICFD_36,ICFD_31,ICFD_34,ICFD_341,ICFD_342,ICFD_35,ICFD_40,ICFD_50,ICFD_60,ICFD_601,ICFD_70,ICFD_2,ICFD_3,ICFD_4,ICFD_5,ICFD_6,ICFD_10,ICFD_11,ICFD_33,CREATED_DATE,UPDATED_DATE
0,2023-12-31,2024-03-08,Y,ABI,Y,0,,-1595960750093.0,-226959822586.0,,-66805612210.0,14093433305.0,-158953036429.0,157130405973.0,-22329356822.0,1000000.0,-1636559000000.0,1428108000000.0,,,150945765753.0,,,-79833591069.0,,,,,,-50098232600.0,,-50098232600.0,27198582304.0,89636776281.0,,116835358585.0,,,2191716193986.0,,,,,,2024-10-16 23:35:22.410158,2025-06-06 16:24:43.396756
1,2023-12-31,,Q,MIG,N,3,1184691208022.0,-975822097936.0,-114167980503.0,-158078.0,-8550000000.0,16989484482.0,21373199626.0,124513655613.0,-9199895313.0,0.0,-988000000000.0,954589428009.0,0.0,0.0,83457254918.0,0.0,0.0,40846787614.0,0.0,0.0,0.0,0.0,0.0,-56244752075.0,0.0,-56244752075.0,109115691152.0,72493615987.0,-24887878.0,,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
2,2021-09-30,,Q,ABI,N,3,403288092036.0,-263507876080.0,-38905792022.0,0.0,-21817777514.0,1453765237.0,-34336813228.0,46173598429.0,-1249714546.0,200454545.0,378000000000.0,-293500000000.0,-692000000000.0,528000000000.0,32830225239.0,0.0,0.0,-47719034762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1545436333.0,84921871065.0,0.0,83376434732.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
3,2023-12-31,2024-04-02,Y,VNR,Y,0,1059810734718.0,,-59689664756.0,,-92054424527.0,15537639205.0,-41607107603.0,325517245227.0,-11185802062.0,,-2045700000000.0,1547270365270.0,,,339143961140.0,,,-170471475652.0,,-150737130000.0,,,,,,-150737130000.0,4308639575.0,62299850107.0,881878778.0,67490368460.0,,,,,-556479931810.0,,,,2024-10-16 23:35:22.410158,2025-06-06 16:24:43.396756
4,2021-09-30,,Q,PGI,N,3,600121412408.0,-349729387523.0,-87596562129.0,0.0,-25379377707.0,21504444755.0,-29747915547.0,129172614257.0,-391050000.0,0.0,-385000000000.0,342700000000.0,-150000000000.0,0.0,70834044942.0,0.0,0.0,-121857005058.0,0.0,0.0,0.0,0.0,0.0,-9032027360.0,0.0,-9032027360.0,-1716418161.0,127518968100.0,-45638240.0,125756911699.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
5,2018-09-30,,Q,AIC,N,3,441330512526.0,-377609771337.0,-23235976543.0,0.0,0.0,14509698998.0,-26933534555.0,28060929089.0,0.0,6450000.0,-59000000000.0,60000000000.0,0.0,0.0,4609889310.0,0.0,0.0,5616339310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33677268399.0,105405469587.0,209549767.0,139292287753.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
6,2018-12-31,,Q,PGI,N,3,854891115781.0,-620115771412.0,-86425230783.0,0.0,-7992401222.0,105918251441.0,-191562162409.0,54713801396.0,-20878228211.0,246009092.0,-257973850000.0,182628521766.0,0.0,0.0,43624735278.0,0.0,0.0,-52352812075.0,0.0,0.0,0.0,0.0,0.0,-943423555.0,0.0,-943423555.0,1417565766.0,176018675071.0,-233791417.0,,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
7,2023-12-31,2024-03-20,Y,PGI,Y,0,3686449898474.0,-2629962237939.0,-624681169224.0,-6957715708.0,-56855525492.0,230550793303.0,-506269467290.0,92274576124.0,-63529007511.0,,-2408000000000.0,1867000000000.0,-3392300000.0,631968480.0,238213855676.0,,,-369075483355.0,,,695042895331.0,-315938742174.0,,-67607077300.0,,311497075857.0,34696168626.0,109294156158.0,-467651261.0,143522673523.0,,,,,,,,,2024-10-16 23:35:22.410158,2025-06-06 16:24:43.396756
8,2018-03-31,,Q,BLI,N,3,199383224635.0,-63930686426.0,-39445219041.0,0.0,0.0,4223649614.0,-122494902337.0,-22263933555.0,-1842669042.0,0.0,0.0,0.0,-147992738966.0,122800378358.0,26133934490.0,0.0,0.0,-901095160.0,0.0,0.0,0.0,0.0,0.0,-74398305.0,0.0,-74398305.0,-23239427020.0,96997579518.0,0.0,,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
9,2022-12-31,2023-03-31,Y,VNR,Y,0,968004203788.0,,-63201354905.0,,-73516269944.0,14590712543.0,-38451453822.0,37002624710.0,-5498472350.0,,-1927548482791.0,1712648314110.0,,28405742794.0,386455730285.0,,,194462832048.0,,,,,,,,-195958269000.0,35507187758.0,25281771911.0,1510890438.0,62299850107.0,,,,,-770423212950.0,,,,2024-10-16 23:35:22.410158,2025-06-06 16:24:43.396756
