,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,IIS_01,IIS_011,IIS_012,IIS_013,IIS_02,IIS_021,IIS_022,IIS_023,IIS_024,IIS_025,IIS_03,IIS_04,IIS_041,IIS_042,IIS_043,IIS_044,IIS_045,IIS_10,IIS_11,IIS_111,IIS_112,IIS_121,IIS_122,IIS_123,IIS_12,IIS_124,IIS_125,IIS_126,IIS_13,IIS_14,IIS_15,IIS_161,IIS_162,IIS_17,IIS_171,IIS_172,IIS_173,IIS_174,IIS_175,IIS_176,IIS_177,IIS_178,IIS_179,IIS_1710,IIS_1711,IIS_18,IIS_19,IIS_192,IIS_202,IIS_212,IIS_193,IIS_203,IIS_213,IIS_25,IIS_26,IIS_261,IIS_262,IIS_263,IIS_301,IIS_302,IIS_303,IIS_304,IIS_305,IIS_22,IIS_23,IIS_306,IIS_24,IIS_31,IIS_32,IIS_40,IIS_401,IIS_50,IIS_501,IIS_51,IIS_52,IIS_521,IIS_60,IIS_61,IIS_62,IIS_70,IIS_191,IIS_201,IIS_211,IIS_022023,CREATED_DATE,UPDATED_DATE
0,2023-06-30,2023-07-26,Q,BMI,N,0,1542406037254.0,1285606931733.0,170406718763.0,86392386758.0,-395372759255.0,-431894325606.0,36521566351.0,0.0,0.0,0.0,1147033277999.0,44301532442.0,43765248954.0,536283488.0,0.0,0.0,536283488.0,1191334810441.0,-530361309934.0,0.0,2656834819.0,0.0,2656834819.0,0.0,118303940628.0,-409400534487.0,0.0,25395450430.0,118044656032.0,-92649205602.0,-384005084057.0,0.0,-10233437625.0,-704572394939.0,-704572394939.0,-211181586409.0,0.0,0.0,0.0,0.0,0.0,-493390808530.0,0.0,0.0,0.0,-1098810916621.0,92523893820.0,0.0,0.0,0.0,3506302011.0,-1201658610.0,0.0,0.0,-45850284929.0,-45850284929.0,0.0,0.0,46673608891.0,0.0,46673608891.0,0.0,2304643401.0,70617619943.0,-23999473467.0,0.0,46618146476.0,283194989.0,-294242349.0,-11047360.0,0.0,95585351408.0,0.0,-15654394435.0,-3458800639.0,-19113195074.0,76472156334.0,0.0,76472156333.0,645.0,,,,,2024-10-16 23:35:22.191365,2024-10-16 23:35:22.191365
1,2022-06-30,2022-07-28,Q,VNR,N,0,628862022566.0,-595104351458.0,1287067032665.0,-63100658641.0,-304456566874.0,-362797461174.0,58340894300.0,0.0,0.0,0.0,324405455692.0,66976295650.0,61501156030.0,5475139620.0,0.0,0.0,5475139620.0,391381751342.0,-234005675042.0,0.0,0.0,0.0,0.0,0.0,156282105467.0,-77723569575.0,0.0,-10337368649.0,-50438768136.0,40101399487.0,-88060938224.0,0.0,-3289845565.0,-239824125639.0,-239824125639.0,-233294832039.0,0.0,0.0,0.0,0.0,0.0,-6529293600.0,0.0,0.0,0.0,-331174909428.0,60206841914.0,0.0,0.0,0.0,5199681650.0,-4138511755.0,0.0,0.0,-27229530070.0,-27229530070.0,0.0,0.0,32977311844.0,0.0,32977311844.0,0.0,1061169895.0,101918309198.0,-27619305438.0,0.0,74299003760.0,131247222.0,-134199200.0,-2951978.0,9758940667.0,118093474188.0,0.0,-21779989099.0,267689830.0,-21512299269.0,96581174919.0,231524156.0,96349650763.0,620.0,,,,,2024-10-16 23:35:22.191365,2024-10-16 23:35:22.191365
2,2019-03-31,,Q,VASS,N,3,551316074049.0,527486140404.0,298934862.0,23530998783.0,-13539447778.0,-1757016546.0,-11782431232.0,0.0,0.0,0.0,537776626271.0,-4742963939.0,-4742963939.0,0.0,0.0,0.0,0.0,533033662332.0,-21932836486.0,-1186977994.0,0.0,0.0,0.0,0.0,8145605715.0,-14974208765.0,0.0,3274498066.0,20499861723.0,-17225363657.0,-11699710699.0,0.0,-5260288314.0,-324921221257.0,-324921221257.0,-118158170214.0,0.0,0.0,0.0,-71482631.0,0.0,-206691568412.0,0.0,0.0,0.0,-341881220270.0,191152442062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-164359318306.0,-164359318306.0,0.0,0.0,26793123756.0,0.0,26793123756.0,0.0,0.0,540535479.0,-11429127216.0,0.0,-10888591737.0,90958415.0,-103142732.0,-12184317.0,0.0,15892347702.0,0.0,0.0,0.0,0.0,15892347702.0,0.0,15892347702.0,318.0,0.0,0.0,0.0,-11782431232.0,2024-10-16 23:35:22.191365,2024-10-16 23:35:22.191365
3,2021-09-30,2021-10-25,Q,PTI,N,0,1454108409948.0,1167918798982.0,19687133238.0,266502477728.0,-556414209283.0,-436933630631.0,-119480578652.0,0.0,0.0,0.0,897694200665.0,212405490351.0,147255035525.0,65150454826.0,0.0,0.0,65150454826.0,1110099691016.0,-369420696730.0,0.0,1221702876.0,0.0,1221702876.0,0.0,92552410752.0,-275646583102.0,0.0,-83324564991.0,-125937861727.0,42613296736.0,-358971148093.0,0.0,-7506723015.0,-544133576216.0,-544133576216.0,-142468258767.0,0.0,0.0,0.0,0.0,0.0,-401665317449.0,0.0,0.0,0.0,-910611447324.0,199488243692.0,0.0,0.0,0.0,8769602272.0,-2316643810.0,6452958462.0,0.0,-112081867903.0,-112081867903.0,0.0,0.0,87406375789.0,0.0,87406375789.0,0.0,6452958462.0,41006275060.0,-5584372560.0,0.0,35421902500.0,196800883.0,-19883036.0,176917847.0,1640670679.0,131098825277.0,0.0,-25729515460.0,101505607.0,-25628009853.0,105470815424.0,24916058.0,105445899366.0,0.0,,,,,2024-10-16 23:35:22.191365,2024-10-16 23:35:22.191365
4,2019-03-31,2019-05-04,Q,PGI,N,0,666534455255.0,666243788139.0,33051849193.0,-32761182077.0,-153735070062.0,-178861077596.0,25126007534.0,0.0,0.0,0.0,512799385193.0,78996221457.0,46510753050.0,32485468407.0,0.0,0.0,32485468407.0,591795606650.0,-337299049324.0,-12889372461.0,20819040.0,0.0,20819040.0,0.0,89667830164.0,-260499772581.0,0.0,-8015789814.0,-240934188240.0,232918398426.0,-268515562395.0,0.0,-5204345597.0,-188005868263.0,-188005868263.0,-49316514363.0,0.0,0.0,0.0,0.0,0.0,-138689353900.0,0.0,0.0,0.0,-461725776255.0,130069830395.0,0.0,0.0,0.0,2019162164.0,-1487885866.0,531276298.0,0.0,-87316432939.0,-87316432939.0,0.0,0.0,42753397456.0,0.0,42753397456.0,0.0,531276298.0,16442425877.0,-11869429359.0,0.0,4572996518.0,-827595374.0,254878226.0,572717148.0,0.0,48430387420.0,0.0,-8782662560.0,0.0,-8782662560.0,39647724860.0,0.0,39647724860.0,0.0,,,,,2024-10-16 23:35:22.191365,2024-10-16 23:35:22.191365
5,2024-06-30,,Q,MIG,Y,3,1204586365504.0,1272941991164.0,11581295687.0,-79936921347.0,-667165611767.0,-710395648449.0,43230036682.0,0.0,0.0,0.0,537420753737.0,348023650570.0,339663202287.0,8360448283.0,0.0,0.0,8360448283.0,885444404307.0,-352563616700.0,0.0,427897160.0,0.0,536149160.0,-108252000.0,182492044625.0,-169643674915.0,0.0,-115140103.0,9971557530.0,-10086697633.0,-169758815018.0,0.0,-5741276384.0,-585824769885.0,-585824769885.0,-88324308488.0,0.0,0.0,0.0,0.0,0.0,-497500461397.0,0.0,0.0,0.0,-761324861287.0,124119543020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120929570599.0,-120929570599.0,0.0,0.0,3189972421.0,0.0,3189972421.0,0.0,0.0,66692709347.0,10522557208.0,0.0,77215266555.0,152107115.0,-269014458.0,-116907343.0,0.0,80288331633.0,0.0,-24070191558.0,354281493.0,-23715910065.0,56572421568.0,0.0,56572421568.0,0.0,0.0,0.0,0.0,43230036682.0,2024-10-16 23:35:22.191365,2025-06-06 16:24:43.242694
6,2019-09-30,,Q,VASS,N,3,891370650370.0,870326879430.0,34942423.0,21008828517.0,13769589300.0,-19460751837.0,33230341137.0,0.0,0.0,0.0,905140239670.0,5916697944.0,5916697944.0,0.0,0.0,0.0,0.0,911056937614.0,-23394762063.0,-199350203.0,0.0,0.0,0.0,0.0,8111291854.0,-15482820412.0,0.0,-20393152445.0,-9608479814.0,-10784672631.0,-35875972857.0,0.0,-7769648078.0,-597830513975.0,-587499971657.0,-165695339607.0,0.0,0.0,0.0,-58510000.0,0.0,-421746122050.0,0.0,0.0,-10330542318.0,-641476134910.0,269580802704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-290797521508.0,-290797521508.0,0.0,0.0,-21216718804.0,0.0,-21216718804.0,0.0,0.0,1223850853.0,-3220843692.0,0.0,-1996992839.0,840161357.0,-293004672.0,547156685.0,0.0,-22666554958.0,0.0,0.0,0.0,0.0,-22666554958.0,0.0,-22666554958.0,-453.0,0.0,0.0,0.0,33230341137.0,2024-10-16 23:35:22.191365,2024-10-16 23:35:22.191365
7,2019-06-30,2019-06-30,Q,PVI,N,0,1962260761656.0,1784702822004.0,177557939652.0,0.0,-1061180137754.0,-845176906309.0,-216003231445.0,0.0,0.0,0.0,901080623902.0,185689877362.0,180675085746.0,5014791616.0,0.0,0.0,5014791616.0,1086770501264.0,-689297122154.0,-7398852842.0,817810145.0,0.0,454089829.0,363720316.0,324118471601.0,-371759693250.0,0.0,-87196781769.0,-87196781769.0,0.0,-458956475019.0,20000000000.0,-28481978163.0,-435541522180.0,-389036395321.0,-49282446230.0,0.0,0.0,0.0,0.0,0.0,-339753949091.0,-28073693527.0,-18431433332.0,0.0,-902979975362.0,183790525902.0,0.0,0.0,0.0,617280237247.0,-532182706408.0,85097530839.0,0.0,-157077775706.0,-157077775706.0,0.0,0.0,26712750196.0,0.0,26712750196.0,0.0,85097530839.0,212231917812.0,-24460418816.0,0.0,187771498996.0,35040001.0,0.0,35040001.0,0.0,299562502985.0,0.0,-80309023097.0,13438784912.0,-66870238185.0,6967223338.0,-18307084.0,6985530422.0,871.0,,,,,2024-10-16 23:35:22.191365,2024-10-16 23:35:22.191365
8,2022-12-31,2023-03-29,Y,MIG,Y,0,4789481929031.0,5203843388528.0,229293696267.0,-643655155764.0,-2095750325484.0,-2680949797746.0,585199472262.0,0.0,0.0,0.0,2693731603547.0,1079742320521.0,1072199830161.0,7542490360.0,0.0,0.0,7542490360.0,3773473924068.0,-1361568462685.0,0.0,1124928150.0,0.0,1124928150.0,0.0,507736520928.0,-852707013607.0,0.0,-138739663946.0,-282117380739.0,143377716793.0,-991446677553.0,0.0,-27521872872.0,-2175051111528.0,-2175051111528.0,-403342113785.0,0.0,0.0,0.0,0.0,0.0,-1771708997743.0,0.0,0.0,0.0,-3194019661953.0,579454262115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-542187379984.0,-542187379984.0,0.0,0.0,37266882131.0,0.0,37266882131.0,0.0,0.0,194127671369.0,-33350067397.0,0.0,160777603972.0,3530290963.0,-1266332875.0,2263958088.0,0.0,200308444191.0,0.0,-40840850323.0,31265396.0,-40809584927.0,159498859264.0,0.0,159498859264.0,1037.0,,,,,2024-10-16 23:35:22.191365,2024-10-16 23:35:22.191365
9,2019-03-31,2019-04-01,Q,PVI,N,0,2385034887551.0,2191878276154.0,193156611397.0,0.0,-1513427642548.0,-1018313908803.0,-495113733745.0,0.0,0.0,0.0,871607245003.0,217079072159.0,211137275584.0,5941796575.0,0.0,0.0,5941796575.0,1088686317162.0,-549634845309.0,-45413684311.0,2039968034.0,0.0,101462945.0,1938505089.0,310412880896.0,-282595680690.0,0.0,-57281480297.0,-57281480297.0,0.0,-339877160987.0,0.0,-32386441155.0,-556735510239.0,-492666129038.0,-41210010948.0,0.0,0.0,0.0,0.0,0.0,-451456118090.0,-50951271023.0,-13118110178.0,0.0,-928999112381.0,159687204781.0,0.0,0.0,0.0,529885642115.0,-448742596174.0,81143045941.0,0.0,-105367243666.0,-105367243666.0,0.0,0.0,54319961115.0,0.0,54319961115.0,0.0,81143045941.0,170322826059.0,-12737097085.0,0.0,157585728974.0,25000000.0,-28403000.0,-3403000.0,0.0,293328299788.0,0.0,-54582979234.0,0.0,-54582979234.0,-2095509779.0,-55029391.0,-2040480388.0,897.0,,,,,2024-10-16 23:35:22.191365,2024-10-16 23:35:22.191365
