,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,SIS_20,SIS_1,SIS_1_1,SIS_1_2,SIS_1_3,SIS_2,SIS_3,SIS_4,SIS_5,SIS_6,SIS_7_1,SIS_7_2,SIS_8,SIS_8_1,SIS_9,SIS_9_1,SIS_9_2,SIS_10,SIS_11,SIS_11_1,SIS_11_2,SIS_40,SIS_21,SIS_21_1,SIS_21_2,SIS_21_3,SIS_22,SIS_22_1,SIS_23,SIS_24,SIS_25,SIS_26,SIS_27,SIS_28,SIS_29,SIS_29_1,SIS_30,SIS_31,SIS_32,SIS_32_1,SIS_50_1,SIS_50,SIS_41,SIS_42,SIS_43,SIS_44,SIS_60,SIS_51,SIS_52,SIS_53,SIS_54,SIS_55,SIS_56,SIS_61,SIS_62,SIS_70,SIS_71,SIS_72,SIS_80,SIS_80_1,SIS_90,SIS_91,SIS_92,SIS_100,SIS_100_1,SIS_100_2,SIS_200,SIS_201,SIS_202,SIS_203,SIS_203_1,SIS_301,SIS_302,SIS_303,SIS_304,SIS_305,SIS_306,SIS_307,SIS_400,SIS_401,SIS_402,SIS_500,SIS_501,SIS_502,SIS_1_4,SIS_21_4,SIS_300,CREATED_DATE,UPDATED_DATE
0,2024-06-30,2024-08-14,S,BVS,Y,0,552271816632.0,115579857031.0,41706413596.0,20466878307.0,53406565128.0,32928694365.0,209780125098.0,,,187630857315.0,,,,,3269514386.0,,,1486909091.0,1595859346.0,,,-267447423611.0,-79564307598.0,-44299413868.0,-35264893730.0,,,,,3463410693.0,,-1187453336.0,-167795222062.0,,,,-7980589263.0,-3364922840.0,-11018339205.0,,,570340076.0,3006527.0,567333549.0,,,-70570292291.0,,-70570292291.0,,,,,,-97628303987.0,117196136819.0,8744053.0,-296689351.0,-287945298.0,,116908191521.0,131706206944.0,-14798015423.0,-14797890377.0,-15755016991.0,957126614.0,102110301144.0,102110301144.0,,,,21163256940.0,,,,,,,123273558084.0,123273558084.0,,,1510.0,,,,21163256940.0,2024-10-16 23:27:57.068531,2025-06-06 16:24:46.684241
1,2024-06-30,2024-08-14,S,WSS,Y,0,10152331535.0,5004800985.0,41646646.0,3885364339.0,1077790000.0,3571794412.0,9369607.0,,,318841153.0,,,,,100881172.0,,,1146644206.0,,,,-31866800514.0,-29981165595.0,-4195814786.0,-25785350809.0,,,,491992266.0,,,-141749065.0,-1817581654.0,,,,-93796510.0,-324499956.0,,,,76964133.0,1310727.0,75653406.0,,,-631473350.0,,,,,,,,-3377257751.0,-24383289247.0,90500000.0,-95010000.0,-4510000.0,,-24387799247.0,-2489123504.0,-21898675743.0,,,,-24387799247.0,-24387799247.0,,,,,,,,,,,-24387799247.0,-24387799247.0,,,-485.0,,,,,2024-10-16 23:27:57.068531,2025-06-06 16:24:46.684241
2,2024-06-30,2024-08-14,S,BETA,Y,0,11602161654.0,7294443906.0,830499891.0,6392694015.0,71250000.0,559342561.0,1000290309.0,,,1356813076.0,,,,,43495437.0,,,1347000000.0,776365.0,,,-8287636943.0,-5166415256.0,,-5166415256.0,,,,,,,-218090920.0,-2285550021.0,,,,-161737416.0,-455267806.0,-575524.0,,,2711933067.0,,2711933067.0,,,,,,,,,,,-6462793430.0,-436335652.0,,,,,-436335652.0,-1662614411.0,1226278759.0,,,,-436335652.0,-436335652.0,,,,,,,,,,,-436335652.0,-436335652.0,,,-11.0,,,,,2024-10-16 23:27:57.068531,2025-06-06 16:24:46.684241
3,2024-06-30,2024-08-14,S,IRSC,Y,0,11178542964.0,257481442.0,,,257481442.0,,769391804.0,,,5916931533.0,,,745796621.0,,320965839.0,,,2865906976.0,302068749.0,,,4154256524.0,,,,,,,,,,,-4015472946.0,,-506128242.0,,-160234128.0,-2157873992.0,10993965832.0,,,16244673.0,,16244673.0,,,-45898082.0,,-45898082.0,,,,,,-3429935192.0,11873210887.0,468398585.0,,468398585.0,,12341609472.0,12341609472.0,,-268321894.0,-268321894.0,,12073287578.0,12073287578.0,,,,,,,,,,,12073287578.0,12073287578.0,,407.0,407.0,,,,,2024-10-16 23:27:57.068531,2025-06-06 16:24:46.684241
4,2024-06-30,2024-08-14,S,VPBANKS,Y,0,1230275916766.0,544065408977.0,197973012549.0,6650305381.0,331209809706.0,25876410959.0,467418135155.0,40581812460.0,,132882949646.0,,,,,14048870732.0,,,4277997310.0,1124331527.0,,,-470083603685.0,-270125015184.0,-250368154683.0,-8835577331.0,-2508231575.0,,,-20181381672.0,-49071607164.0,,-7332033150.0,-115918967874.0,,,,-2948049229.0,-2526549412.0,-1980000000.0,,,3460821743.0,,3460821743.0,,,-181195153202.0,,-180797692611.0,,,-397460591.0,,,-82076930745.0,500381050877.0,7516874.0,-340034020.0,-332517146.0,,500048533731.0,502414575935.0,-2366042204.0,-100074429149.0,-100547637590.0,473208441.0,399974104582.0,399974104582.0,,,,-10257375996.0,,,,,,,389716728586.0,389716728586.0,,,267.0,,8232281341.0,-8413051595.0,-10257375996.0,2024-10-16 23:27:57.068531,2025-06-06 16:24:46.684241
5,2024-06-30,2024-08-14,S,VSCC,Y,0,2253354415.0,,,,,403969863.0,1139615546.0,,,534282450.0,,,,,171192351.0,,,,4294205.0,,,-2750973820.0,,,,,,,,,,,-2716978839.0,,,,-25192036.0,,-8802945.0,,,101858324.0,,101858324.0,,,-443283291.0,,-443283291.0,,,,,,-1481807375.0,-2320851747.0,,-74458330.0,-74458330.0,,-2395310077.0,-2395310077.0,,,,,-2395310077.0,-2395310077.0,,,,,,,,,,,-2395310077.0,-2395310077.0,,-2395310077.0,-158.0,-158.0,,,,2024-10-16 23:27:57.068531,2025-06-06 16:24:46.684241
6,2024-06-30,2024-08-14,S,VTSS,Y,0,385675455.0,16594787.0,,14211280.0,2383507.0,,,,,361954411.0,,,,,7126257.0,,,,,,,-872400135.0,,,,,,,,,,,-865441324.0,,,,-6958811.0,,,,,161500899.0,,161500899.0,,,,,,,,,,,-25359412265.0,25034188484.0,4998000.0,-322623625.0,-317625625.0,,24716562859.0,24702351579.0,14211280.0,,,,24716562859.0,24716562859.0,,,,,,,,,,,24716562859.0,24716562859.0,,,1791.0,,,,,2024-10-16 23:27:57.068531,2025-06-06 16:24:46.684241
7,2024-06-30,2024-08-14,S,HAC,Y,0,39709606221.0,26616727656.0,5236023135.0,20791455491.0,589249030.0,510678081.0,6538236391.0,,,5332774964.0,,,,,647240024.0,,,30927272.0,33021833.0,,,-24459541164.0,-16085250576.0,-10898496692.0,-5186753884.0,,,,,-1070675845.0,,-893045918.0,-5943550641.0,,,,-467018184.0,,,,,1360164327.0,,1360164327.0,,,,,,,,,,,-8938159955.0,7672069429.0,143652801.0,-22823700.0,120829101.0,,7792898530.0,-7811803077.0,15604701607.0,,,,7792898530.0,7792898530.0,,,,,,,,,,,7792898530.0,7792898530.0,,,267.0,,,,,2024-10-16 23:27:57.068531,2025-06-06 16:24:46.684241
8,2024-06-30,2024-08-14,S,NVSC,Y,0,39506074337.0,34910498332.0,16217731424.0,14773913300.0,3918853608.0,1880782057.0,428728389.0,,,1502432334.0,,,,,686748730.0,,,,6884495.0,,,-14962818126.0,-10568453620.0,,-10568453620.0,,,,,,,-822440181.0,-1927728988.0,-647679185.0,-294785095.0,,-692550738.0,,-9180319.0,,,53438100.0,,53438100.0,,,-12311507.0,,-12311507.0,,,,,,-6418083318.0,18166299486.0,1197.0,-467544.0,-466347.0,,18165833139.0,13960373459.0,4205459680.0,-3835398194.0,-3835398194.0,,14330434945.0,14330434945.0,,,,,,,,,,,14330434945.0,14330434945.0,,,569.0,,,,,2024-10-16 23:27:57.068531,2025-06-06 16:24:46.684241
9,2024-06-30,2024-08-14,S,KVS,Y,0,3700000000.0,,,,,,,,,,,,3700000000.0,,,,,,,,,-174347293.0,,,,,,,,,,,,,-174000000.0,,-347293.0,,,,,277696327.0,,277696327.0,,,,,,,,,,,-1227599478.0,2575749556.0,13000.0,-12612730.0,-12599730.0,,2563149826.0,-139047710.0,,,,,2563149826.0,2563149826.0,,,,,,,,,,,2563149826.0,2563149826.0,,,95.0,95.0,,,,2024-10-16 23:27:57.068531,2025-06-06 16:24:46.684241
