Entity,Symbol,Metric_Code,Prefix,Q2_2025_Has,Q3_2025_Has
BANK,CTG,BBS_300,BBS,Yes,No
BANK,CTG,BBS_500,BBS,Yes,No
BANK,CTG,BBS_9001,BBS,Yes,No
BANK,CTG,BBS_920,BBS,Yes,No
BANK,CTG,BIS_19,BIS,Yes,No
BANK,CTG,BIS_23,BIS,Yes,No
BANK,CTG,BNOT_1,BNOT,Yes,No
BANK,CTG,BNOT_12_3,BNOT,Yes,No
BANK,CTG,BNOT_13_1_3,BNOT,Yes,No
BANK,CTG,BNOT_13_3_1,BNOT,Yes,No
BANK,CTG,BNOT_14,BNOT,Yes,No
BANK,CTG,BNOT_14_1,BNOT,Yes,No
BANK,CTG,BNOT_14_2,BNOT,Yes,No
BANK,CTG,BNOT_14_3,BNOT,Yes,No
BANK,CTG,BNOT_14_4,BNOT,Yes,No
BANK,CTG,BNOT_14_5,BNOT,Yes,No
BANK,CTG,BNOT_15,BNOT,Yes,No
BANK,CTG,BNOT_15_1,BNOT,Yes,No
BANK,CTG,BNOT_15_2,BNOT,Yes,No
BANK,CTG,BNOT_15_3,BNOT,Yes,No
BANK,CTG,BNOT_15_4,BNOT,Yes,No
BANK,CTG,BNOT_15_5,BNOT,Yes,No
BANK,CTG,BNOT_16,BNOT,Yes,No
BANK,CTG,BNOT_16_1,BNOT,Yes,No
BANK,CTG,BNOT_16_2,BNOT,Yes,No
BANK,CTG,BNOT_16_3,BNOT,Yes,No
BANK,CTG,BNOT_17,BNOT,Yes,No
BANK,CTG,BNOT_17_1,BNOT,Yes,No
BANK,CTG,BNOT_17_2,BNOT,Yes,No
BANK,CTG,BNOT_17_3,BNOT,Yes,No
BANK,CTG,BNOT_18,BNOT,Yes,No
BANK,CTG,BNOT_18_1,BNOT,Yes,No
BANK,CTG,BNOT_18_2,BNOT,Yes,No
BANK,CTG,BNOT_18_3,BNOT,Yes,No
BANK,CTG,BNOT_19,BNOT,Yes,No
BANK,CTG,BNOT_19_1,BNOT,Yes,No
BANK,CTG,BNOT_19_2,BNOT,Yes,No
BANK,CTG,BNOT_19_3,BNOT,Yes,No
BANK,CTG,BNOT_1_1,BNOT,Yes,No
BANK,CTG,BNOT_1_2,BNOT,Yes,No
BANK,CTG,BNOT_1_3,BNOT,Yes,No
BANK,CTG,BNOT_1_4,BNOT,Yes,No
BANK,CTG,BNOT_1_5,BNOT,Yes,No
BANK,CTG,BNOT_1_6,BNOT,Yes,No
BANK,CTG,BNOT_2,BNOT,Yes,No
BANK,CTG,BNOT_20,BNOT,Yes,No
BANK,CTG,BNOT_20_1,BNOT,Yes,No
BANK,CTG,BNOT_20_2,BNOT,Yes,No
BANK,CTG,BNOT_20_3,BNOT,Yes,No
BANK,CTG,BNOT_21,BNOT,Yes,No
BANK,CTG,BNOT_21_1,BNOT,Yes,No
BANK,CTG,BNOT_21_2,BNOT,Yes,No
BANK,CTG,BNOT_21_3,BNOT,Yes,No
BANK,CTG,BNOT_22,BNOT,Yes,No
BANK,CTG,BNOT_22_1,BNOT,Yes,No
BANK,CTG,BNOT_22_2,BNOT,Yes,No
BANK,CTG,BNOT_22_3,BNOT,Yes,No
BANK,CTG,BNOT_22_4,BNOT,Yes,No
BANK,CTG,BNOT_23,BNOT,Yes,No
BANK,CTG,BNOT_23_1,BNOT,Yes,No
BANK,CTG,BNOT_23_2,BNOT,Yes,No
BANK,CTG,BNOT_23_3,BNOT,Yes,No
BANK,CTG,BNOT_24,BNOT,Yes,No
BANK,CTG,BNOT_24_1,BNOT,Yes,No
BANK,CTG,BNOT_24_1_1,BNOT,Yes,No
BANK,CTG,BNOT_24_1_2,BNOT,Yes,No
BANK,CTG,BNOT_24_1_3,BNOT,Yes,No
BANK,CTG,BNOT_24_1_4,BNOT,Yes,No
BANK,CTG,BNOT_24_1_5,BNOT,Yes,No
BANK,CTG,BNOT_24_1_6,BNOT,Yes,No
BANK,CTG,BNOT_24_1_7,BNOT,Yes,No
BANK,CTG,BNOT_24_2,BNOT,Yes,No
BANK,CTG,BNOT_24_2_1,BNOT,Yes,No
