symbol,entry,exit,pnl,days
L40,2024-03-07,2024-03-19,-5.097451274362818,12
L40,2024-08-01,2024-12-16,56.70498084291188,137
L40,2025-01-14,2025-05-06,5.355776587605203,112
L40,2025-08-11,2025-11-13,275.5186721991701,94
L40,2025-12-09,2025-12-12,-5.263157894736842,3
GEE,2023-03-24,2023-04-21,-1.9498607242339834,28
GEE,2023-05-08,2023-06-23,0.0,46
GEE,2023-09-12,2023-09-13,-1.478352692713833,1
GEE,2023-09-18,2023-09-19,-3.1779661016949152,1
GEE,2023-10-02,2023-11-28,4.22680412371134,57
GEE,2023-12-22,2024-01-25,-3.0895047705588365,34
GEE,2024-05-07,2024-08-20,13.973063973063974,105
GEE,2025-01-20,2025-07-08,262.0810600155885,169
GEE,2025-07-15,2025-08-29,12.23996129656507,45
GEE,2025-09-30,2025-12-16,30.866141732283463,77
HGM,2023-06-09,2023-07-21,-7.70440251572327,42
HGM,2024-08-19,2025-01-22,239.12343470483006,156
HGM,2025-02-05,2025-04-09,24.849279161205768,63
HGM,2025-07-08,2025-08-20,5.669443352043188,43
HGM,2025-10-16,2025-10-20,-3.172999526319102,4
BKC,2023-06-30,2023-07-26,-11.76470588235294,26
BKC,2024-01-04,2024-02-01,-5.333333333333334,28
BKC,2024-06-21,2024-07-15,-8.450704225352112,24
BKC,2024-08-20,2024-09-06,-5.970149253731343,17
BKC,2024-09-09,2024-09-23,-1.5384615384615385,14
BKC,2024-10-21,2025-03-26,714.2857142857143,156
BKC,2025-04-03,2025-04-16,-18.194640338504936,13
BKC,2025-07-21,2025-09-08,16.883116883116884,49
BKC,2025-09-30,2025-10-01,-8.450704225352112,1
TOS,2023-04-28,2023-06-05,0.32590983161325365,38
TOS,2023-06-15,2023-09-19,7.739620707329574,96
TOS,2023-12-18,2024-07-18,64.58610004426738,213
TOS,2024-09-20,2024-09-26,-2.0069375619425176,6
TOS,2024-10-28,2025-04-04,108.47330157934319,158
TOS,2025-10-14,2025-12-18,10.920436817472712,65
ANT,2023-11-03,2023-11-07,-4.557291666666666,4
ANT,2023-11-08,2024-01-26,10.344827586206897,79
ANT,2024-02-23,2024-04-01,-2.0,38
ANT,2024-05-03,2024-11-21,81.9623389494549,202
ANT,2025-01-20,2025-04-03,-1.5191199580932426,73
ANT,2025-04-24,2025-07-25,34.418604651162795,92
HVA,2023-05-18,2023-09-22,36.36363636363637,127
HVA,2023-09-29,2023-10-13,-11.538461538461538,14
HVA,2024-06-04,2024-07-24,-3.225806451612903,50
HVA,2024-09-09,2024-09-11,-6.153846153846154,2
HVA,2024-09-13,2024-10-21,-4.615384615384616,38
HVA,2024-12-18,2024-12-20,-4.615384615384616,2
HVA,2024-12-24,2024-12-31,-1.5625,7
HVA,2025-02-19,2025-04-25,137.09677419354838,65
HVA,2025-06-03,2025-06-16,-5.147058823529411,13
HVA,2025-07-16,2025-10-10,86.46616541353383,86
MCH,2023-05-10,2023-06-30,5.890052356020942,51
MCH,2023-07-11,2023-09-19,11.874409820585457,70
MCH,2023-11-10,2024-07-15,154.75835639770065,248
MCH,2024-08-06,2024-08-28,-5.141037306642402,22
MCH,2024-09-04,2024-09-05,-1.5610438024231017,1
MCH,2024-09-23,2025-01-16,17.671022290545736,115
MCH,2025-05-14,2025-06-18,-5.091839107184376,35
MCH,2025-07-04,2025-07-08,-3.5003977724741446,4
NNC,2023-02-20,2023-02-23,-6.819421713038734,3
NNC,2023-06-02,2023-08-21,1.7908723281340264,80
NNC,2023-10-24,2023-11-28,1.0497237569060773,35
NNC,2023-12-06,2023-12-18,-1.2924071082390953,12
NNC,2024-01-10,2024-01-16,-1.7770597738287561,6
NNC,2024-01-19,2024-01-23,-0.759631036353771,4
NNC,2024-05-21,2024-09-27,26.371681415929203,129
NNC,2024-11-29,2025-05-09,40.84440227703985,161
NNC,2025-05-26,2025-11-11,61.72248803827751,169
VIC,2023-05-18,2023-05-31,-2.2556390977443606,13
VIC,2023-06-06,2023-06-22,-1.5037593984962405,16
VIC,2023-07-18,2023-07-26,-3.225806451612903,8
VIC,2023-07-31,2023-09-06,11.796733212341199,37
VIC,2023-11-15,2023-11-17,-7.048458149779736,2
VIC,2023-12-11,2024-01-15,-2.2701475595913734,35
VIC,2024-02-19,2024-04-19,-9.361702127659575,60
VIC,2024-07-30,2024-08-12,-3.7914691943127963,13
VIC,2024-08-22,2024-09-20,1.8050541516245486,29
VIC,2024-10-23,2024-10-28,-4.050925925925926,5
VIC,2024-12-09,2024-12-17,-3.106332138590203,8
VIC,2025-02-20,2025-06-20,111.96581196581197,120
VIC,2025-06-23,2025-09-09,-30.38793103448277,78
MTA,2023-02-20,2023-03-08,-13.729508196721312,16
MTA,2023-05-26,2023-05-29,-8.636363636363646,3
MTA,2023-06-01,2023-07-11,8.636363636363637,40
